"warehouseID","Block","Date","containerID","haulierID","remarks","LotID"
"A",15,"2021-10-01","c001","h001",NA,NA
"A",16,"2021-10-01","c001","h001",NA,NA
"A",17,"2021-10-01","c001","h001",NA,NA
"A",18,"2021-10-01","c001","h001",NA,NA
"A",15,"2021-10-01","c001","h001",NA,NA
"A",16,"2021-10-01","c001","h001",NA,NA
"A",17,"2021-10-01","c001","h001",NA,NA
"A",18,"2021-10-01","c001","h001",NA,NA
"E",5,"2021-10-01","c002","h001",NA,NA
"E",6,"2021-10-01","c002","h001",NA,NA
"E",7,"2021-10-01","c002","h001",NA,NA
"E",8,"2021-10-01","c002","h001",NA,NA
"E",9,"2021-10-01","c002","h001",NA,NA
"E",10,"2021-10-01","c002","h001",NA,NA
"A",36,"2021-10-01","c006","h001",NA,NA
"A",37,"2021-10-01","c006","h001",NA,NA
"A",38,"2021-10-01","c006","h001",NA,NA
"A",39,"2021-10-01","c006","h001",NA,NA
"A",40,"2021-10-01","c006","h001",NA,NA
"A",41,"2021-10-01","c006","h001",NA,NA
"A",15,"2021-10-01","c001","h001",NA,NA
"A",16,"2021-10-01","c001","h001",NA,NA
"A",17,"2021-10-01","c001","h001",NA,NA
"A",18,"2021-10-01","c001","h001",NA,NA
"A",15,"2021-10-01","c001","h001",NA,NA
"A",16,"2021-10-01","c001","h001",NA,NA
"A",17,"2021-10-01","c001","h001",NA,NA
"A",18,"2021-10-01","c001","h001",NA,NA
"E",5,"2021-10-01","c002","h001",NA,NA
"E",6,"2021-10-01","c002","h001",NA,NA
"E",7,"2021-10-01","c002","h001",NA,NA
"E",8,"2021-10-01","c002","h001",NA,NA
"E",9,"2021-10-01","c002","h001",NA,NA
"E",10,"2021-10-01","c002","h001",NA,NA
"A",41,"2021-10-01","c003","h001",NA,NA
"A",42,"2021-10-01","c003","h001",NA,NA
"A",43,"2021-10-01","c003","h001",NA,NA
"B",44,"2021-10-01","c005","h001",NA,NA
"B",45,"2021-10-01","c005","h001",NA,NA
"B",46,"2021-10-01","c005","h001",NA,NA
"B",9,"2021-10-01","c005","h001",NA,NA
"B",10,"2021-10-01","c005","h001",NA,NA
"B",11,"2021-10-01","c005","h001",NA,NA
"B",12,"2021-10-01","c005","h001",NA,NA
"B",13,"2021-10-01","c005","h001",NA,NA
"B",14,"2021-10-01","c005","h001",NA,NA
"C",29,"2021-10-01","c001","h001",NA,NA
"C",30,"2021-10-01","c001","h001",NA,NA
"C",31,"2021-10-01","c001","h001",NA,NA
"C",32,"2021-10-01","c001","h001",NA,NA
"C",33,"2021-10-01","c001","h001",NA,NA
"C",38,"2021-10-01","c001","h001",NA,NA
"C",39,"2021-10-01","c001","h001",NA,NA
"C",40,"2021-10-01","c001","h001",NA,NA
"C",41,"2021-10-01","c001","h001",NA,NA
"E",9,"2021-10-13","test","test","test",NA
"E",14,"2021-10-13","test","test","test",NA
"A",1,"2021-10-13","test","test","test",NA
"A",2,"2021-10-13","test","test","test",NA
"A",3,"2021-10-13","test","test","test",NA
"A",4,"2021-10-13","test","test","test",NA
"A",5,"2021-10-13","test","test","test",NA
"A",2,"2021-10-13","test","test","test",NA
"A",3,"2021-10-13","test","test","test",NA
"A",4,"2021-10-13","test","test","test",NA
"A",5,"2021-10-13","test","test","test",NA
"A",6,"2021-10-13","test","test","test",NA
"A",7,"2021-10-13","test","test","test",NA
"A",0,"2021-10-13","cgh","cgh","cgh",NA
"A",1,"2021-10-13","cgh","cgh","cgh",NA
"A",2,"2021-10-13","cgh","cgh","cgh",NA
"A",3,"2021-10-13","cgh","cgh","cgh",NA
"A",4,"2021-10-13","cgh","cgh","cgh",NA
"A",5,"2021-10-13","cgh","cgh","cgh",NA
"A",6,"2021-10-13","cgh","cgh","cgh",NA
"A",0,"2021-10-13","cgh","cgh","cgh",NA
"A",1,"2021-10-13","cgh","cgh","cgh",NA
"A",2,"2021-10-13","cgh","cgh","cgh",NA
"A",3,"2021-10-13","cgh","cgh","cgh",NA
"A",4,"2021-10-13","cgh","cgh","cgh",NA
"A",5,"2021-10-13","cgh","cgh","cgh",NA
"A",6,"2021-10-13","cgh","cgh","cgh",NA
"A",1,"2021-10-13","cgh","cgh","cgh",NA
"A",2,"2021-10-13","cgh","cgh","cgh",NA
"A",3,"2021-10-13","cgh","cgh","cgh",NA
"A",4,"2021-10-13","cgh","cgh","cgh",NA
"A",5,"2021-10-13","cgh","cgh","cgh",NA
"E",3,"2021-10-16","test","test","test",NA
"E",4,"2021-10-16","test","test","test",NA
"E",5,"2021-10-16","test","test","test",NA
"E",6,"2021-10-16","test","test","test",NA
"E",7,"2021-10-16","test","test","test",NA
"E",8,"2021-10-16","test","test","test",NA
"E",9,"2021-10-16","test","test","test",NA
"E",10,"2021-10-16","test","test","test",NA
"A",3,"2021-10-13","test","test","test",NA
"A",4,"2021-10-13","test","test","test",NA
"A",5,"2021-10-13","test","test","test",NA
"A",6,"2021-10-13","test","test","test",NA
"A",7,"2021-10-13","test","test","test",NA
"E",4,"2021-10-13","test","test","test",NA
"E",5,"2021-10-13","test","test","test",NA
"E",6,"2021-10-13","test","test","test",NA
"E",7,"2021-10-13","test","test","test",NA
"E",8,"2021-10-13","test","test","test",NA
"A",2,"2021-10-13","test","test","tes",NA
"A",3,"2021-10-13","test","test","tes",NA
"A",4,"2021-10-13","test","test","tes",NA
"A",5,"2021-10-13","test","test","tes",NA
"A",6,"2021-10-13","test","test","tes",NA
"A",7,"2021-10-13","test","test","tes",NA
"A",9,"2021-10-20","test","test","test",NA
"A",10,"2021-10-20","test","test","test",NA
"A",11,"2021-10-20","test","test","test",NA
"A",12,"2021-10-20","test","test","test",NA
"A",13,"2021-10-20","test","test","test",NA
"A",14,"2021-10-20","test","test","test",NA
