"warehouseID","Block","Date","containerID","haulierID","remarks","LotID"
"A",15,"2021-10-01","c001","h001",NA,NA
"A",16,"2021-10-01","c001","h001",NA,NA
"A",17,"2021-10-01","c001","h001",NA,NA
"A",18,"2021-10-01","c001","h001",NA,NA
"A",15,"2021-10-01","c001","h001",NA,NA
"A",16,"2021-10-01","c001","h001",NA,NA
"A",17,"2021-10-01","c001","h001",NA,NA
"A",18,"2021-10-01","c001","h001",NA,NA
"E",5,"2021-10-01","c002","h001",NA,NA
"E",6,"2021-10-01","c002","h001",NA,NA
"E",7,"2021-10-01","c002","h001",NA,NA
"E",8,"2021-10-01","c002","h001",NA,NA
"E",9,"2021-10-01","c002","h001",NA,NA
"E",10,"2021-10-01","c002","h001",NA,NA
"A",36,"2021-10-01","c006","h001",NA,NA
"A",37,"2021-10-01","c006","h001",NA,NA
"A",38,"2021-10-01","c006","h001",NA,NA
"A",39,"2021-10-01","c006","h001",NA,NA
"A",40,"2021-10-01","c006","h001",NA,NA
"A",41,"2021-10-01","c006","h001",NA,NA
"A",15,"2021-10-01","c001","h001",NA,NA
"A",16,"2021-10-01","c001","h001",NA,NA
"A",17,"2021-10-01","c001","h001",NA,NA
"A",18,"2021-10-01","c001","h001",NA,NA
"A",15,"2021-10-01","c001","h001",NA,NA
"A",16,"2021-10-01","c001","h001",NA,NA
"A",17,"2021-10-01","c001","h001",NA,NA
"A",18,"2021-10-01","c001","h001",NA,NA
"E",5,"2021-10-01","c002","h001",NA,NA
"E",6,"2021-10-01","c002","h001",NA,NA
"E",7,"2021-10-01","c002","h001",NA,NA
"E",8,"2021-10-01","c002","h001",NA,NA
"E",9,"2021-10-01","c002","h001",NA,NA
"E",10,"2021-10-01","c002","h001",NA,NA
"A",41,"2021-10-01","c003","h001",NA,NA
"A",42,"2021-10-01","c003","h001",NA,NA
"A",43,"2021-10-01","c003","h001",NA,NA
"B",44,"2021-10-01","c005","h001",NA,NA
"B",45,"2021-10-01","c005","h001",NA,NA
"B",46,"2021-10-01","c005","h001",NA,NA
"B",9,"2021-10-01","c005","h001",NA,NA
"B",10,"2021-10-01","c005","h001",NA,NA
"B",11,"2021-10-01","c005","h001",NA,NA
"B",12,"2021-10-01","c005","h001",NA,NA
"B",13,"2021-10-01","c005","h001",NA,NA
"B",14,"2021-10-01","c005","h001",NA,NA
"A",0,"2021-10-13","cd0001","h003","things",NA
"A",8,"2021-10-13","cd0001","h003","things",NA
"B",0,"2021-10-13","cd0001","h003","things",NA
"B",8,"2021-10-13","cd0001","h003","things",NA
"A",6,"2021-10-20","cd13101","h002","test1",NA
"A",14,"2021-10-20","cd13101","h002","test1",NA
"A",6,"2021-10-20","cd13101","h002","test1",NA
"A",14,"2021-10-20","cd13101","h002","test1",NA
"A",6,"2021-10-20","cd13101","h002","test1",NA
"A",14,"2021-10-20","cd13101","h002","test1",NA
"A",6,"2021-10-20","cd13101","h002","test1",NA
"A",14,"2021-10-20","cd13101","h002","test1",NA
"A",6,"2021-10-20","cd13101","h002","test1",NA
"A",14,"2021-10-20","cd13101","h002","test1",NA
"A",6,"2021-10-20","cd13101","h002","test1",NA
"A",14,"2021-10-20","cd13101","h002","test1",NA
"A",6,"2021-10-20","cd13101","h002","test1",NA
"A",14,"2021-10-20","cd13101","h002","test1",NA
"A",6,"2021-10-20","cd13101","h002","test1",NA
"A",14,"2021-10-20","cd13101","h002","test1",NA
"A",6,"2021-10-20","cd13101","h002","test1",NA
"A",14,"2021-10-20","cd13101","h002","test1",NA
"A",6,"2021-10-20","cd13101","h002","test1",NA
"A",14,"2021-10-20","cd13101","h002","test1",NA
"A",6,"2021-10-13","cd13101","h002","test1",NA
"A",14,"2021-10-13","cd13101","h002","test1",NA
"A",6,"2021-10-13","cd13101","h002","test1",NA
"A",14,"2021-10-13","cd13101","h002","test1",NA
"A",6,"2021-10-13","cd13101","h002","test1",NA
"A",14,"2021-10-13","cd13101","h002","test1",NA
"A",6,"2021-10-13","cd13101","h002","test1",NA
"A",14,"2021-10-13","cd13101","h002","test1",NA
"A",6,"2021-10-13","cd13101","h002","test1",NA
"A",14,"2021-10-13","cd13101","h002","test1",NA
"E",0,"2021-10-13","cd13102","h006","",NA
"E",6,"2021-10-13","cd13102","h006","",NA
"A",6,"2021-10-13","cdtest","h002","test",NA
"A",12,"2021-10-13","cdtest","h002","test",NA
"A",6,"2021-10-11","cd13101","h002","test1",NA
"A",14,"2021-10-11","cd13101","h002","test1",NA
"A",6,"2021-10-11","cd13101","h002","test1",NA
"A",14,"2021-10-11","cd13101","h002","test1",NA
"A",6,"2021-10-11","cd13101","h002","test1",NA
"A",14,"2021-10-11","cd13101","h002","test1",NA
"A",6,"2021-10-11","cd13101","h002","test1",NA
"A",14,"2021-10-11","cd13101","h002","test1",NA
"A",6,"2021-10-11","cd13101","h002","test1",NA
"A",14,"2021-10-11","cd13101","h002","test1",NA
"E",0,"2021-10-13","cd1310","h003","test",NA
"E",8,"2021-10-13","cd1310","h003","test",NA
"E",0,"2021-10-13","cd1310","h003","test",NA
"E",8,"2021-10-13","cd1310","h003","test",NA
"E",0,"2021-10-13","cd1310","h003","test",NA
"E",8,"2021-10-13","cd1310","h003","test",NA
"A",6,"2021-10-09","cd13101","h002","test1",NA
"A",14,"2021-10-09","cd13101","h002","test1",NA
"A",6,"2021-10-09","cd13101","h002","test1",NA
"A",14,"2021-10-09","cd13101","h002","test1",NA
"A",6,"2021-10-09","cd13101","h002","test1",NA
"A",14,"2021-10-09","cd13101","h002","test1",NA
"A",6,"2021-10-09","cd13101","h002","test1",NA
"A",14,"2021-10-09","cd13101","h002","test1",NA
"A",6,"2021-10-09","cd13101","h002","test1",NA
"A",14,"2021-10-09","cd13101","h002","test1",NA
"D",4,"2021-10-13","test","test","test",NA
"D",9,"2021-10-13","test","test","test",NA
"D",4,"2021-10-13","test","test","test",NA
"D",9,"2021-10-13","test","test","test",NA
"A",4,"2021-10-13","test","h003","test",NA
"A",9,"2021-10-13","test","h003","test",NA
"A",4,"2021-10-13","test","h003","test",NA
"A",9,"2021-10-13","test","h003","test",NA
"C",4,"2021-10-13","test","h003","test",NA
"C",9,"2021-10-13","test","h003","test",NA
"C",4,"2021-10-13","test","h003","test",NA
"C",9,"2021-10-13","test","h003","test",NA
"D",4,"2021-10-13","test","h003","test",NA
"D",9,"2021-10-13","test","h003","test",NA
"D",4,"2021-10-13","test","h003","test",NA
"D",9,"2021-10-13","test","h003","test",NA
"C",0,"2021-10-11","tes","tes","tes",NA
"C",6,"2021-10-11","tes","tes","tes",NA
"B",0,"2021-10-11","tes","tes","tes",NA
"B",6,"2021-10-11","tes","tes","tes",NA
"E",8,"2021-10-13","test","test","test",NA
"E",13,"2021-10-13","test","test","test",NA
"C",3,"2021-10-13","test","test","test",NA
"C",8,"2021-10-13","test","test","test",NA
"E",3,"2021-10-13","test","test","test",NA
"E",7,"2021-10-13","test","test","test",NA
"E",3,"2021-10-13","test","test","test",NA
"E",4,"2021-10-13","test","test","test",NA
"E",5,"2021-10-13","test","test","test",NA
"E",6,"2021-10-13","test","test","test",NA
"E",7,"2021-10-13","test","test","test",NA
"E",3,"2021-10-13","test","test","test",NA
"E",4,"2021-10-13","test","test","test",NA
"E",5,"2021-10-13","test","test","test",NA
"E",6,"2021-10-13","test","test","test",NA
"E",7,"2021-10-13","test","test","test",NA
"D",9,"2021-10-13","test","test","test",NA
"D",10,"2021-10-13","test","test","test",NA
"D",11,"2021-10-13","test","test","test",NA
"D",12,"2021-10-13","test","test","test",NA
"D",13,"2021-10-13","test","test","test",NA
"D",14,"2021-10-13","test","test","test",NA
"D",15,"2021-10-13","test","test","test",NA
"D",16,"2021-10-13","test","test","test",NA
"A",9,"2021-10-13","test","testt","test",NA
"A",10,"2021-10-13","test","testt","test",NA
"A",11,"2021-10-13","test","testt","test",NA
"A",12,"2021-10-13","test","testt","test",NA
"A",13,"2021-10-13","test","testt","test",NA
"A",14,"2021-10-13","test","testt","test",NA
"A",9,"2021-10-13","test","testt","test",NA
"A",10,"2021-10-13","test","testt","test",NA
"A",11,"2021-10-13","test","testt","test",NA
"A",12,"2021-10-13","test","testt","test",NA
"A",13,"2021-10-13","test","testt","test",NA
"A",14,"2021-10-13","test","testt","test",NA
"A",6,"2021-10-13","test","test","test",NA
"A",7,"2021-10-13","test","test","test",NA
"A",8,"2021-10-13","test","test","test",NA
"A",9,"2021-10-13","test","test","test",NA
"A",10,"2021-10-13","test","test","test",NA
"A",11,"2021-10-13","test","test","test",NA
"E",26,"2021-10-01","c003","h001",NA,NA
"E",27,"2021-10-01","c003","h001",NA,NA
"E",28,"2021-10-01","c003","h001",NA,NA
"E",29,"2021-10-01","c003","h001",NA,NA
"E",19,"2021-10-01","c004","h001",NA,NA
"E",20,"2021-10-01","c004","h001",NA,NA
"E",21,"2021-10-01","c004","h001",NA,NA
"E",39,"2021-10-01","c005","h001",NA,NA
"E",40,"2021-10-01","c005","h001",NA,NA
"E",41,"2021-10-01","c005","h001",NA,NA
"E",42,"2021-10-01","c005","h001",NA,NA
"E",43,"2021-10-01","c005","h001",NA,NA
"E",44,"2021-10-01","c005","h001",NA,NA
"A",0,"2021-10-13","cgh","cgh","cgh",NA
"A",1,"2021-10-13","cgh","cgh","cgh",NA
"A",2,"2021-10-13","cgh","cgh","cgh",NA
"A",3,"2021-10-13","cgh","cgh","cgh",NA
"A",4,"2021-10-13","cgh","cgh","cgh",NA
"A",0,"2021-10-13","test","test","test",NA
"A",1,"2021-10-13","test","test","test",NA
"A",2,"2021-10-13","test","test","test",NA
"A",3,"2021-10-13","test","test","test",NA
"A",4,"2021-10-13","test","test","test",NA
"A",5,"2021-10-13","test","test","test",NA
"A",6,"2021-10-13","test","test","test",NA
"A",7,"2021-10-13","test","test","test",NA
"E",35,"2021-10-01","c007","h001",NA,NA
"E",36,"2021-10-01","c007","h001",NA,NA
"E",37,"2021-10-01","c007","h001",NA,NA
"E",13,"2021-10-01","c006","h001",NA,NA
"E",14,"2021-10-01","c006","h001",NA,NA
"E",15,"2021-10-01","c006","h001",NA,NA
"E",16,"2021-10-01","c006","h001",NA,NA
"E",17,"2021-10-01","c006","h001",NA,NA
"E",27,"2021-10-05","c006","h001",NA,NA
"E",28,"2021-10-05","c006","h001",NA,NA
"E",29,"2021-10-05","c006","h001",NA,NA
"E",30,"2021-10-05","c006","h001",NA,NA
"E",31,"2021-10-05","c006","h001",NA,NA
"E",0,"2021-10-01","c022","h001",NA,NA
"E",1,"2021-10-01","c022","h001",NA,NA
"E",2,"2021-10-01","c022","h001",NA,NA
"E",3,"2021-10-01","c022","h001",NA,NA
"A",6,"2021-10-13","test","test","test",NA
"A",7,"2021-10-13","test","test","test",NA
"A",8,"2021-10-13","test","test","test",NA
"A",9,"2021-10-13","test","test","test",NA
"A",10,"2021-10-13","test","test","test",NA
"A",11,"2021-10-13","test","test","test",NA
"A",6,"2021-10-13","test","test","test",NA
"A",7,"2021-10-13","test","test","test",NA
"A",8,"2021-10-13","test","test","test",NA
"A",9,"2021-10-13","test","test","test",NA
"A",10,"2021-10-13","test","test","test",NA
"A",11,"2021-10-13","test","test","test",NA
"A",6,"2021-10-13","test","test","test",NA
"A",7,"2021-10-13","test","test","test",NA
"A",8,"2021-10-13","test","test","test",NA
"A",9,"2021-10-13","test","test","test",NA
"A",10,"2021-10-13","test","test","test",NA
"A",11,"2021-10-13","test","test","test",NA
"A",6,"2021-10-13","test","test","test",NA
"A",7,"2021-10-13","test","test","test",NA
"A",8,"2021-10-13","test","test","test",NA
"A",9,"2021-10-13","test","test","test",NA
"A",10,"2021-10-13","test","test","test",NA
"A",11,"2021-10-13","test","test","test",NA
"A",6,"2021-10-13","test","test","test",NA
"A",7,"2021-10-13","test","test","test",NA
"A",8,"2021-10-13","test","test","test",NA
"A",9,"2021-10-13","test","test","test",NA
"A",10,"2021-10-13","test","test","test",NA
"A",11,"2021-10-13","test","test","test",NA
"A",0,"2021-10-16","test","test","test",NA
"A",1,"2021-10-16","test","test","test",NA
"A",2,"2021-10-16","test","test","test",NA
"A",3,"2021-10-16","test","test","test",NA
"A",4,"2021-10-16","test","test","test",NA
"A",5,"2021-10-16","test","test","test",NA
"A",6,"2021-10-16","test","test","test",NA
"A",7,"2021-10-16","test","test","test",NA
"A",8,"2021-10-16","test","test","test",NA
"A",1,"2021-10-16","test","test","test",NA
"A",2,"2021-10-16","test","test","test",NA
"A",3,"2021-10-16","test","test","test",NA
"A",4,"2021-10-16","test","test","test",NA
"A",5,"2021-10-16","test","test","test",NA
"A",3,"2021-10-16","test","test","test",NA
"A",4,"2021-10-16","test","test","test",NA
"A",5,"2021-10-16","test","test","test",NA
"A",6,"2021-10-16","test","test","test",NA
"A",7,"2021-10-16","test","test","test",NA
"A",8,"2021-10-16","test","test","test",NA
"A",9,"2021-10-16","test","test","test",NA
"A",0,"2021-10-13","test","test","test",NA
"A",1,"2021-10-13","test","test","test",NA
"A",2,"2021-10-13","test","test","test",NA
"A",3,"2021-10-13","test","test","test",NA
"A",4,"2021-10-13","test","test","test",NA
"A",5,"2021-10-13","test","test","test",NA
"A",6,"2021-10-13","test","test","test",NA
"A",7,"2021-10-13","test","test","test",NA
"A",8,"2021-10-13","test","test","test",NA
"A",9,"2021-10-13","test","test","test",NA
