"warehouseID","Block","Date","containerID","haulierID","remarks","LotID"
"A",0,"2021-10-01","c268","h001",NA,NA
"A",1,"2021-10-01","c268","h001",NA,NA
"A",2,"2021-10-01","c268","h001",NA,NA
"A",3,"2021-10-01","c268","h001",NA,NA
"A",4,"2021-10-01","c268","h001",NA,NA
"A",5,"2021-10-01","c268","h001",NA,NA
"A",5,"2021-10-01","c160","h001",NA,NA
"A",6,"2021-10-01","c160","h001",NA,NA
"A",7,"2021-10-01","c160","h001",NA,NA
"A",8,"2021-10-01","c160","h001",NA,NA
"A",9,"2021-10-01","c160","h001",NA,NA
"A",10,"2021-10-01","c160","h001",NA,NA
"A",10,"2021-10-01","c205","h001",NA,NA
"A",11,"2021-10-01","c205","h001",NA,NA
"A",12,"2021-10-01","c205","h001",NA,NA
"A",13,"2021-10-01","c205","h001",NA,NA
"A",14,"2021-10-01","c205","h001",NA,NA
"A",15,"2021-10-01","c205","h001",NA,NA
"A",15,"2021-10-01","c378","h001",NA,NA
"A",16,"2021-10-01","c378","h001",NA,NA
"A",17,"2021-10-01","c378","h001",NA,NA
"A",18,"2021-10-01","c378","h001",NA,NA
"A",19,"2021-10-01","c378","h001",NA,NA
"A",20,"2021-10-01","c378","h001",NA,NA
"A",20,"2021-10-01","c148","h001",NA,NA
"A",21,"2021-10-01","c148","h001",NA,NA
"A",22,"2021-10-01","c148","h001",NA,NA
"A",23,"2021-10-01","c148","h001",NA,NA
"A",24,"2021-10-01","c148","h001",NA,NA
"A",24,"2021-10-01","c275","h001",NA,NA
"A",25,"2021-10-01","c275","h001",NA,NA
"A",26,"2021-10-01","c275","h001",NA,NA
"A",27,"2021-10-01","c275","h001",NA,NA
"A",28,"2021-10-01","c275","h001",NA,NA
"A",29,"2021-10-01","c275","h001",NA,NA
"A",29,"2021-10-01","c060","h001",NA,NA
"A",30,"2021-10-01","c060","h001",NA,NA
"A",31,"2021-10-01","c060","h001",NA,NA
"A",31,"2021-10-01","c055","h001",NA,NA
"A",32,"2021-10-01","c055","h001",NA,NA
"A",33,"2021-10-01","c055","h001",NA,NA
"A",34,"2021-10-01","c055","h001",NA,NA
"A",35,"2021-10-01","c055","h001",NA,NA
"A",36,"2021-10-01","c055","h001",NA,NA
"A",36,"2021-10-01","c179","h001",NA,NA
"A",37,"2021-10-01","c179","h001",NA,NA
"A",38,"2021-10-01","c179","h001",NA,NA
"A",39,"2021-10-01","c179","h001",NA,NA
"A",40,"2021-10-01","c179","h001",NA,NA
"A",41,"2021-10-01","c179","h001",NA,NA
"A",41,"2021-10-01","c320","h001",NA,NA
"A",42,"2021-10-01","c320","h001",NA,NA
"A",43,"2021-10-01","c320","h001",NA,NA
"A",44,"2021-10-01","c320","h001",NA,NA
"A",44,"2021-10-01","c256","h001",NA,NA
"A",45,"2021-10-01","c256","h001",NA,NA
"A",46,"2021-10-01","c256","h001",NA,NA
"A",47,"2021-10-01","c256","h001",NA,NA
"A",0,"2021-10-01","c415","h001",NA,NA
"A",1,"2021-10-01","c415","h001",NA,NA
"A",2,"2021-10-01","c415","h001",NA,NA
"A",3,"2021-10-01","c415","h001",NA,NA
"A",3,"2021-10-01","c298","h001",NA,NA
"A",4,"2021-10-01","c298","h001",NA,NA
"A",5,"2021-10-01","c298","h001",NA,NA
"A",6,"2021-10-01","c298","h001",NA,NA
"A",7,"2021-10-01","c298","h001",NA,NA
"A",8,"2021-10-01","c298","h001",NA,NA
"A",8,"2021-10-01","c091","h001",NA,NA
"A",9,"2021-10-01","c091","h001",NA,NA
"A",10,"2021-10-01","c091","h001",NA,NA
"A",11,"2021-10-01","c091","h001",NA,NA
"A",11,"2021-10-01","c175","h001",NA,NA
"A",12,"2021-10-01","c175","h001",NA,NA
"A",13,"2021-10-01","c175","h001",NA,NA
"A",14,"2021-10-01","c175","h001",NA,NA
"A",14,"2021-10-01","c030","h001",NA,NA
"A",15,"2021-10-01","c030","h001",NA,NA
"A",16,"2021-10-01","c030","h001",NA,NA
"A",17,"2021-10-01","c030","h001",NA,NA
"A",17,"2021-10-01","c145","h001",NA,NA
"A",18,"2021-10-01","c145","h001",NA,NA
"A",19,"2021-10-01","c145","h001",NA,NA
"A",20,"2021-10-01","c145","h001",NA,NA
"A",21,"2021-10-01","c145","h001",NA,NA
"A",22,"2021-10-01","c145","h001",NA,NA
"A",22,"2021-10-01","c371","h001",NA,NA
"A",23,"2021-10-01","c371","h001",NA,NA
"A",24,"2021-10-01","c371","h001",NA,NA
"A",24,"2021-10-01","c061","h001",NA,NA
"A",25,"2021-10-01","c061","h001",NA,NA
"A",26,"2021-10-01","c061","h001",NA,NA
"A",27,"2021-10-01","c061","h001",NA,NA
"A",28,"2021-10-01","c061","h001",NA,NA
